ART_TOT;ART_PRM;ART_FOOD_PRM;ART_FOOD;ART_LEADER;ART_FOLLOWER;ART_FLINE;ART_EXLAB;ART_PRIVLAB
1;0;0;0;0;0;0;0;0
82;17;11;45;11;25;1;6;7
54;10;9;36;4;18;0;2;14
319;80;70;284;124;131;16;2;14
197;49;37;160;51;84;6;1;17
9;1;1;7;2;4;1;0;0
2;1;1;1;0;1;0;0;0
290;76;70;248;45;153;10;4;36
83;11;0;14;2;11;0;10;1
1672;930;901;1528;598;778;49;13;79
10;1;1;8;2;5;1;0;0
427;96;88;372;115;201;10;5;33
2;0;0;0;0;0;0;0;0
182;44;44;175;34;88;15;2;29
57;10;6;44;23;13;0;0;8
55;5;5;49;17;23;5;0;4
331;76;71;306;65;173;28;6;33
29;3;3;28;18;8;1;0;1
80;11;9;55;21;27;5;0;3
546;342;316;477;170;263;13;4;26
734;165;151;586;150;310;40;21;72
57;18;16;51;10;22;5;2;12
286;74;67;220;40;138;18;15;16
34;7;7;34;13;15;0;0;1
20;6;0;10;3;5;1;0;1
59;23;22;56;9;19;10;1;16
464;58;48;392;178;177;12;3;21
45;8;7;32;6;10;6;0;11
36;1;1;24;10;10;0;2;5
398;52;48;339;160;125;5;5;38
269;157;157;261;135;112;7;2;6
90;34;13;47;4;36;0;2;7
159;25;25;133;42;69;6;1;13
754;180;164;649;257;298;15;16;66
12;3;3;9;2;6;1;0;0
59;11;11;54;10;33;2;0;9
94;14;10;76;13;45;1;1;15
136;15;13;132;63;42;10;0;16
66;12;7;46;9;27;4;1;7
33;4;4;26;5;13;1;0;6
48;15;14;45;21;20;1;0;2
356;73;64;301;88;129;21;2;59
65;33;33;64;28;29;1;0;2
79;8;6;70;30;38;0;0;2
6;0;0;6;0;4;0;0;0
254;117;107;216;86;104;6;1;19
11;4;0;4;0;3;0;0;1
179;51;45;141;35;88;9;4;11
77;14;12;52;9;37;1;3;4
417;97;86;370;126;178;26;1;40
17;0;0;6;0;5;0;0;1
32;7;6;24;9;10;0;1;4
1;0;0;1;0;0;0;0;1
11;2;2;9;2;5;0;0;2
239;69;61;194;45;114;12;9;19
79;12;12;66;9;39;6;0;12
223;59;46;183;46;78;18;5;32
66;8;8;57;19;36;0;0;2
25;9;8;24;16;6;0;0;0
26;6;6;25;12;10;0;0;3
533;102;78;410;160;191;13;12;38
261;61;54;208;61;123;1;8;19
861;359;342;778;326;347;21;12;66
1241;324;303;1066;345;622;17;23;59
724;304;294;664;249;256;43;9;102
54;12;12;51;6;30;4;2;7
155;32;30;145;15;77;13;2;27
128;32;13;44;12;31;1;9;1
214;45;44;189;48;94;16;4;26
52;9;6;32;5;18;2;0;7
91;16;9;16;1;15;2;4;0
229;70;59;194;46;108;11;4;31
118;30;30;110;45;42;9;3;10
41;8;8;31;15;15;0;1;0
16;5;4;14;6;4;1;1;3
18;4;2;13;1;8;1;1;3
929;199;182;815;340;380;15;11;74
860;277;268;757;326;375;10;16;46
482;153;123;364;122;167;24;6;41
31;6;6;23;7;13;1;1;2
198;50;36;157;38;76;14;3;23
218;71;71;215;73;78;23;4;36
24;8;7;22;4;16;0;0;2
716;84;77;647;201;313;30;4;91
293;85;84;281;68;111;43;8;46
9;2;0;0;0;0;0;0;0
37;4;4;37;2;10;6;0;19
21;6;4;8;5;3;0;0;0
7;0;0;7;0;6;1;0;0
545;116;115;521;149;232;30;4;95
83;25;25;78;18;40;10;0;8
21;6;6;19;2;12;1;2;3
3;0;0;0;0;0;0;0;0
233;46;37;192;50;89;12;3;37
119;31;26;89;14;59;7;3;10
121;44;40;104;41;39;13;2;11
18;5;2;3;1;2;0;2;1
342;95;90;299;66;171;17;5;38
149;18;15;111;17;71;4;2;16
122;26;26;119;28;70;5;2;11
422;107;95;379;88;236;11;3;35
56;13;12;42;11;21;2;0;7
320;161;145;281;72;141;14;2;46
193;42;30;159;73;80;1;8;3
23;11;11;23;6;10;2;1;3
4;4;2;2;0;2;0;0;0
19;3;3;15;6;7;0;0;2
410;92;90;382;134;142;35;2;62
23;9;7;20;6;11;0;0;3
110;24;22;76;12;56;2;3;6
57;5;3;6;0;6;3;10;0
196;52;40;81;24;52;0;14;4
83;10;9;76;22;41;0;1;12
33;9;1;4;1;3;0;5;0
222;18;14;194;122;52;4;1;14
422;117;113;403;101;206;25;9;57
44;13;12;33;13;17;2;0;3
102;33;27;82;29;40;4;1;8
10;3;2;8;2;3;0;0;3
336;49;45;299;78;140;20;4;53
462;149;149;462;246;163;23;2;25
59;8;8;55;16;24;1;1;10
3;0;0;2;1;1;0;0;0
7;2;0;0;0;1;0;0;0
1;1;0;0;0;0;0;0;0
2;0;0;2;1;1;0;0;0
16;4;0;2;0;1;0;3;1
364;126;116;317;98;161;22;6;27
52;18;12;28;8;17;1;1;2
12;8;5;7;1;4;0;2;0
13;1;1;7;1;4;1;0;1
17;2;2;13;8;3;0;0;2
130;34;27;113;27;68;4;2;14
587;124;112;487;189;215;22;10;55
12;6;6;10;3;6;0;0;1
258;66;61;215;50;120;19;5;24
88;24;16;55;15;29;3;1;7
242;41;25;156;48;62;13;10;34
126;14;4;33;10;18;1;12;3
371;96;94;320;95;181;13;5;23
560;153;150;540;164;218;54;5;85
217;56;48;176;63;77;21;9;16
131;26;12;79;17;55;0;2;3
124;38;23;91;21;53;5;2;9
214;47;34;124;53;63;1;22;6
21;6;5;17;6;8;0;0;3
184;28;25;177;112;57;4;0;4
57;13;12;46;9;29;3;0;5
227;78;74;195;56;101;12;8;19
62;8;8;52;19;28;2;0;3
42;9;8;36;6;15;2;1;11
22;1;1;3;2;1;1;1;0
86;39;39;86;21;52;5;0;8
33;16;9;14;4;9;0;0;1
413;65;47;274;80;157;10;20;20
412;64;45;277;93;130;24;11;32
341;41;30;264;127;101;7;9;26
1073;175;146;827;286;394;40;31;96
141;39;33;99;24;58;3;7;11
263;52;39;183;52;106;7;9;15
430;114;106;366;108;218;8;13;23
371;83;75;296;71;163;14;11;36
374;70;61;306;73;195;12;11;21
200;33;27;164;52;85;4;4;19
383;84;78;302;75;177;16;10;30
